author|0|body_xml
s_omel|2013/02/07 07:50:14|<a href="http://www.youtube.com/watch?v=TcMokIgd8iU">http://www.youtube.com/watch?v=TcMokIgd8iU</a>
iabbliz|2013/02/08 06:53:11|Таня просит потище говори
iabbliz|2013/02/08 06:57:47|Тебя слышно на планерке
s_omel|2013/02/08 11:54:26|<a href="http://www.youtube.com/watch?v=kocY797FPpo">http://www.youtube.com/watch?v=kocY797FPpo</a>
iabbliz|2013/02/12 10:02:39|Привет
iabbliz|2013/02/12 10:02:41|работаю
s_omel|2013/02/12 10:02:51|интересное что нибудь?
s_omel|2013/02/12 10:03:05|штаны хоть одеваешь?
iabbliz|2013/02/12 10:03:09|2 вещи узнал которые не знал
iabbliz|2013/02/12 10:03:10|одеваю
s_omel|2013/02/12 10:03:21|и гастук на голое тело?
s_omel|2013/02/12 10:03:22|)
iabbliz|2013/02/12 10:03:27|ага
s_omel|2013/02/12 10:03:32|че узнал
iabbliz|2013/02/12 10:03:41|сек позже=)
s_omel|2013/02/12 10:09:14|нет, давай сейчас расказывай, потом забудешь
iabbliz|2013/02/12 10:09:23|=)
s_omel|2013/02/12 10:09:34|не претворяйся что занят
iabbliz|2013/02/12 10:10:09|Для регистров упорядочивание по измерениям делать нельзя, ни в коем случае. Т.к. измерения регистров используются для создания индексов поиска в СУБД и должны располагаться по мере уменьшения «охвата» таблицы.
iabbliz|2013/02/12 10:10:19|Например: Организация, Склад, Номенклатура (по уменьшению количества отбираемых записей таблицы) – но не так Номенклатура, Организация, Склад (это по алфавиту).
iabbliz|2013/02/12 10:10:38|это первое
iabbliz|2013/02/12 10:10:49|• периодические регистры сведений «работают» медленнее, чем непериодические;
iabbliz|2013/02/12 10:10:50|второе
s_omel|2013/02/12 10:11:49|клево, за второй вопрос не обсуждал, а за первый это я вростове обговаривал, уже знал
s_omel|2013/02/12 10:13:23|&quot;измерения регистров используются для создания индексов поиска в СУБД и должны располагаться по мере уменьшения «охвата» таблицы&quot; конкретика хорошая, а то мы когда обговаривали как то своими словами получалось сложить фразу
iabbliz|2013/02/12 10:13:59|ага
s_omel|2013/02/12 10:14:59|ну ты уже вошел во вкус работать? задачи интереные?
iabbliz|2013/02/12 10:15:02|а еще диски на серваке доставляют
iabbliz|2013/02/12 10:15:04|2 ТБ
iabbliz|2013/02/12 10:15:06|=)
iabbliz|2013/02/12 10:15:10|место вагон
iabbliz|2013/02/12 10:15:13|места
iabbliz|2013/02/12 10:15:22|только пока вхожу
s_omel|2013/02/12 10:15:29|ты фильмы туда уже перекачал?
iabbliz|2013/02/12 10:16:01|=))
s_omel|2013/02/12 10:16:49|а я мак ось на виртуалке поднял, теперь с моментами разбираюсь как на ios сделать конфу
